# Avastel 5 day proxy bots IPs blocklist 
# Last update: 2026-01-02 01:02:58.237747
# Number of proxy IP CIDRs: 300, equivalent to 114688 IPs

ip_address;autonomous_system;confidence
199.115.195.0/24;M247 Europe SRL;1.0
185.169.3.0/24;TerraTransit AG;1.0
85.209.217.0/24;Datacamp Limited;1.0
209.242.221.0/24;HostRoyale Technologies Pvt Ltd;1.0
168.235.148.0/24;SERVER-MANIA;1.0
185.45.95.0/24;Datacamp Limited;1.0
185.51.122.0/24;Internet Resources Management SRL;1.0
216.158.207.0/24;Datacamp Limited;1.0
136.0.202.0/24;M247 Europe SRL;1.0
82.21.70.0/24;Datacamp Limited;1.0
172.84.184.0/22;AS40676;1.0
82.21.211.0/24;Datacamp Limited;1.0
204.217.207.0/24;Datacamp Limited;1.0
82.21.56.0/24;Datacamp Limited;1.0
82.21.68.0/24;Datacamp Limited;1.0
154.7.227.0/24;QUICKPACKET;1.0
63.143.93.0/24;DIGI-GRP-JAM;1.0
45.39.142.0/24;AS40676;1.0
185.202.156.0/22;TerraTransit AG;1.0
82.23.32.0/23;Latitude.sh LTDA;1.0
82.23.38.0/24;Datacamp Limited;1.0
82.23.40.0/24;Latitude.sh LTDA;1.0
82.23.37.0/24;Datacamp Limited;1.0
45.38.255.0/24;AS40676;1.0
82.23.21.0/24;Datacamp Limited;1.0
82.23.22.0/24;Datacamp Limited;1.0
82.23.217.0/24;Datacamp Limited;1.0
23.95.156.0/23;AS-COLOCROSSING;1.0
195.128.178.0/24;Mod Mission Critical LLC;1.0
195.128.162.0/24;Mod Mission Critical LLC;1.0
82.23.18.0/24;Datacamp Limited;1.0
185.193.80.0/22;TerraTransit AG;1.0
82.23.49.0/24;Trunk Networks LTD;1.0
82.23.26.0/23;Latitude.sh LTDA;1.0
82.23.29.0/24;Latitude.sh LTDA;1.0
82.23.30.0/23;Trunk Networks LTD;1.0
23.26.230.0/24;M247 Europe SRL;1.0
82.23.17.0/24;Datacamp Limited;1.0
154.17.105.0/24;QUICKPACKET;1.0
154.17.150.0/24;QUICKPACKET;1.0
45.38.185.0/24;AS40676;1.0
45.38.186.0/24;AS40676;1.0
84.54.34.0/24;Internet Resources Management SRL;1.0
45.38.179.0/24;AS40676;1.0
154.29.12.0/24;QUICKPACKET;1.0
82.23.16.0/24;Trunk Networks LTD;1.0
45.134.139.0/24;Mod Mission Critical LLC;1.0
50.114.101.0/24;M247 Europe SRL;1.0
154.37.82.0/24;QUICKPACKET;1.0
82.21.59.0/24;Datacamp Limited;1.0
205.186.66.0/24;M247 Europe SRL;1.0
45.38.246.0/24;AS40676;1.0
45.38.240.0/24;AS40676;1.0
85.122.60.0/23;Internet Resources Management SRL;1.0
142.111.129.0/24;M247 Europe SRL;1.0
82.22.212.0/24;Datacamp Limited;1.0
195.60.238.0/24;Internet Resources Management SRL;1.0
45.117.53.0/24;Datacamp Limited;1.0
72.57.106.0/23;SERVER-MANIA;1.0
45.39.141.0/24;AS40676;1.0
185.201.160.0/22;TerraTransit AG;1.0
82.24.215.0/24;Datacamp Limited;1.0
82.23.34.0/24;Trunk Networks LTD;1.0
166.0.140.0/24;M247 Europe SRL;1.0
85.254.137.0/24;UAB Bite Lietuva;1.0
85.254.103.0/24;UAB Bite Lietuva;1.0
85.254.30.0/24;UAB Bite Lietuva;1.0
85.254.59.0/24;UAB Bite Lietuva;1.0
72.57.108.0/22;SERVER-MANIA;1.0
91.231.183.0/24;Internet Resources Management SRL;1.0
199.89.230.0/24;RCS-ASN;1.0
185.200.136.0/22;TerraTransit AG;1.0
108.165.207.0/24;M247 Europe SRL;1.0
151.240.234.0/23;BUNNY-COMMUNICATIONS-GLOBAL;1.0
82.23.36.0/24;Latitude.sh LTDA;1.0
82.23.35.0/24;Latitude.sh LTDA;1.0
45.123.145.0/24;Datacamp Limited;1.0
185.196.108.0/22;TerraTransit AG;1.0
102.217.240.0/22;NET99;0.95
151.240.236.0/23;BUNNY-COMMUNICATIONS-GLOBAL;0.95
103.190.40.0/23;DISH MEDIA NETWORK PUBLIC LIMITED;0.95
95.163.148.0/22;AS-COLOAM;0.95
92.38.208.0/22;AS-COLOAM;0.95
185.206.220.0/22;AS-COLOAM;0.95
213.219.252.0/22;AS-COLOAM;0.95
